"","cv_binary","se","sp","balanced_accs"
"1",0.982213438735178,0.984615384615385,0.977777777777778,0.981196581196581
"2",0.954545454545455,0.945714285714286,0.966666666666667,0.956190476190476
"3",0.982213438735178,0.983333333333333,0.98,0.981666666666667
"4",0.947430830039526,0.922857142857143,0.98,0.951428571428571
"5",0.990909090909091,1,0.98,0.99
"6",0.954940711462451,0.952380952380952,0.966666666666667,0.95952380952381
"7",0.973122529644269,0.973214285714286,0.977777777777778,0.975496031746032
"8",0.96403162055336,0.938461538461538,1,0.969230769230769
"9",0.982608695652174,0.984615384615385,0.98,0.982307692307692
"10",0.963636363636364,0.981818181818182,0.945454545454545,0.963636363636364
"11",0.991304347826087,0.985714285714286,1,0.992857142857143
"12",0.964822134387352,0.968484848484849,0.966666666666667,0.967575757575758
"13",1,1,1,1
"14",0.964426877470356,0.984615384615385,0.94,0.962307692307692
"15",0.954940711462451,0.966666666666667,0.944615384615385,0.955641025641026
"16",0.955335968379447,0.959047619047619,0.962393162393162,0.960720390720391
"17",1,1,1,1
"18",0.938339920948617,0.93034188034188,0.963636363636364,0.946989121989122
"19",0.982608695652174,0.983333333333333,0.975,0.979166666666667
"20",0.991304347826087,0.98,1,0.99
"21",0.947826086956522,0.914285714285714,1,0.957142857142857
"22",0.956126482213439,0.939607843137255,1,0.969803921568627
"23",0.982213438735178,0.986666666666667,0.981818181818182,0.984242424242424
"24",0.956126482213439,0.962393162393162,0.941818181818182,0.952105672105672
"25",0.991304347826087,1,0.975,0.9875
"26",0.955731225296443,0.949350649350649,0.969230769230769,0.959290709290709
"27",0.964426877470356,0.951428571428571,0.975,0.963214285714286
"28",0.964822134387352,0.9625,0.975,0.96875
"29",0.982608695652174,0.983333333333333,0.98,0.981666666666667
"30",0.982608695652174,0.9875,0.971428571428571,0.979464285714286
"31",0.973517786561265,0.975,0.98,0.9775
"32",0.963636363636364,0.96,0.981818181818182,0.970909090909091
"33",0.955731225296443,0.959047619047619,0.966666666666667,0.962857142857143
"34",0.982608695652174,0.973333333333333,1,0.986666666666667
"35",1,1,1,1
"36",0.955335968379447,0.940659340659341,0.977777777777778,0.959218559218559
"37",0.991304347826087,0.981818181818182,1,0.990909090909091
"38",0.973122529644269,0.963636363636364,0.977777777777778,0.970707070707071
"39",0.973517786561265,0.98,0.96,0.97
"40",0.965217391304348,0.981818181818182,0.95,0.965909090909091
"41",0.973122529644269,0.957142857142857,1,0.978571428571429
"42",0.965217391304348,0.941758241758242,1,0.970879120879121
"43",0.973913043478261,0.954761904761905,1,0.977380952380952
"44",0.955335968379447,0.945454545454545,0.966666666666667,0.956060606060606
"45",0.954940711462451,0.956043956043956,0.962393162393162,0.959218559218559
"46",0.973517786561265,0.959047619047619,1,0.97952380952381
"47",0.937549407114625,0.928246753246753,0.966666666666667,0.94745670995671
"48",0.991304347826087,0.983333333333333,1,0.991666666666667
"49",0.982213438735178,0.986666666666667,0.98,0.983333333333333
"50",0.982608695652174,0.971428571428571,1,0.985714285714286
